event_name,event_date,event_topic,event_type,event_reviewperson,event_Quote,event_city,event_description,Event_full
After The Apology,29th May 2019,Conflict,Film,,,Canberra,A redemptive documentatry about four grandmothers who start a national movement to place Indigenous children with extended families.,2
The Song Keepers,29th May 2019,Conflict,Film,,,Canberra,A simple classroom is setting for this complex exploration of the starkly releant topic of mass global immigration,3
Food Fighter,30th May 2019,Conflict,Film,,,Canberra,Food Fighter' is the inspirational story of one OzHarvest CEO Ronni Kahn crusade to save perfectly edible food,4
Jaha's Promise,30th May 2019,Woman Rights,Film,,,Canberra,"As one of the countless victims of female genital mutilation, aha's Promise is not only a commitment to her daugher but also a successful campaign against the relenless female genital mutilation",5
Border Politics,31st May 2019,Conflict,Film,,,Canberra,"Having made its World Premiere at HRAFF, Border Politics questions whether the West has lost its moral compass adopting ideas that rject humanity and undermine democracy.",6
Last Men In Aleppo,31st May 2019,Conflict,Film,,,Canberra,"Through the volunteers from the White Helmets we xperience the daily life, death and struggle in the streets, where they are fighting for sanity in a city wherewar has become the norm",7
Her Sound Her Story,1st June 2019,Woman Rights,Film,,,Canberra,"Making its world premiere at HRAFF, the film features an intimate conversation with an exclusively female line-up to tell their stories, and look for solutions to ensuing a more inclusive, diverse future",8
Step,2nd June 2019,Woman,Film,,,Canberra,"Not only are they a competitive step team headed for a showdown, these girls are also aiming to break barriers as the first graduates of their school",9
A Woman Captured,,,,Cineuropa,…the power of the film is undeniable.,,,"Marish has been exploited and abused for more than 10 years by the woman for whom she toils as a housekeeper—entirely unpaid. She even has to hand over the money she earns with an extra job as a cleaner in a factory. She’s forbidden to do anything without permission. Marish’s 18-year-old daughter couldn’t stand it anymore and ran away a couple of years ago, but Marish lives with too much fear in her heart. Can she ever learn to trust people again? She dreams of seeing her daughter again but will she find the courage to take a step forward in her life?"
The Cleaners,,,,"JOHN DEFORE, THE HOLLYWOOD REPORTER","Smart, stylish doc exposes must-discuss issues regarding the companies who dominate the Internet",,,"In an unmarked office building in Manila, just about as far away from Silicon Valley as you can get, a hidden industry has emerged.  They are online moderators and their job is to scour through all of our personal online content and decide whether to skip over it or delete it from view.  However, beyond this invasion of our not-so-private lives, these workers must also trawl through all of the most disturbing content hidden in the darkest corners of the internet.Bravely and anonymously, these “cleaners” speak out about their jobs, the industry and the impact moderating this content has on their psychological well-being.  And at the other end of the line, the tech companies outsourcing the moderating of this content are called into question.  What are their commercial imperatives?  And who is moderating the moderators?                                                    Hans Block and Moritz Riesewieck’s documentary offers a complex and well-rounded view of censorship going well beyond knee-jerk reactions and in doing so paints a picture of the social media landscape with the darkest of hues."
,,,,,,,,
NEW EVENTS,,,,,,,,
Constance On The Edge,23rd May,Profile,Film,"Mohammad Al-Khafaji, Welcome Australia",A heartwarming film and a reminder that welcoming is the most powerful tool we have,Sydney,Constance is a strong Acholi woman who was one of the first refugees from South Sudan to settle in Wagga Wagga with her family in 2005.,"Constance is a strong Acholi woman who was one of the first refugees from South Sudan to settle in Wagga Wagga with her family in 2005. A third generation refugee, victim of war crimes, a survivor, single mother, community leader and activist; Constance is charismatic, although troubled. Filmed over ten years, honest interviews are complemented by animated sequences and archive footage that pulls together this family’s story of navigating a challenging settlement journey in Australia, after fleeing civil war abroad. Hope flourishes for their future in this story about the importance of community and sense of agency in those who must rebuild."
